Scrippt Name (Diagnosis),Pediatric/Adult,Category,Pathophysiology,Epidemiology,Signs/Symptoms,Diagnostics,Treatments,Links,Image URL
Hyperthermia ,Both,Emergency Med,"failure of thermoregulation processes (peripheral vasodilation, thermal sweating, cardiac changes)which are activated by core temperature increases < 1°C (1.8°F).","heat-related illness in U.S. high school athletes is approximately 9,000 cases annually-- football season. 3rd leading cause of death in high school athletes","Confusion, blurred vision, nausea, no or little sweating","Substantially elevated, Increased WBC, increased BUN, increased creatinine","Evaporative cooling, benzodiazepines; antipyretics are not effective
Heatstroke is a medical emergency, and mortality can approach 10 percent",https://www.aafp.org/afp/2019/0415/p482.html,
Hypothermia,Both,Emergency Med,Body temperature <95°F/35°C from cold exposure,"Risk factors: alcohol intoxication, elderly","decreased body temperature, Lethargy, shivering, confusion; arrhythmias, hypotension","ECG: J waves, Vtach or Vfib","Warm patient externally or internally, treat arrhythmias and hypotension ",https://www.youtube.com/watch?v=-JAXbDTIiSk,
Heat Stroke,Both,Emergency Med,"Heat gain overwhelms the body's mechanisms of heat loss,","2.7/10,000 soldiers, primarily exertional","Body temperature >104, Confusion, blurred vision, nausea, no or little sweating","Substantially elevated, Increased WBC, increased BUN, increased creatinine",Evaporative cooling (spray naked patient with lukewarm water and then fan) or whole-body cold water immersion; benzodiazepines if seizures are present; antipyretics are not effective,https://pubmed.ncbi.nlm.nih.gov/31201762/,
Snake Bite,Both,Emergency Med,"Characterized by local tissue damage involving hemorrhage, blistering, myonecrosis and inflammation",4.5–5.4 million people a year,"Pain and swelling at bite, progressive dyspnea, toxin-induced DIC","History and clinical examination, labs: CBC, coagulation studies, etc",Immobilize extremity and cleanse wound; antivenin likely required,https://www.aafp.org/afp/2002/0401/p1367.html,
Scorpion Bite,Both,Emergency Med,Complex mix of toxins that affect the nervous system (neurotoxins),The incidence of scorpion stings 18.7 per 1000 for the 15-month period,"Severe pain and swelling at site of sting, increased sweating, vomiting, diarrhea","History and clinical examination, “tap test","Antivenin, atropine, phenobarbita",,
Black Widow Bite,Both,Emergency Med,The venom causes the nervous system to dump all of its neurotransmitters, 2600 are reported to the National Poison Data System (NPDS) annually. More common in warm environments,"Muscle pain and spasms, localized diaphoresis, abdominal pain, autonomic stimulation",History and clinical examination,"Local wound care, benzodiazepines, antivenin",https://www.aafp.org/afp/2009/1015/p793.html,
Brown recluse Bite,Both,Emergency Med,"Venom is toxic and can cause cutaneous necrosis, is also somewhat cytotoxic and hemolytic",highest incidence between April-October,"Increasing pain at site, possible ulceration and necrosis",History and examination,"Local wound care, dapsone to prevent tissue necrosis, limited benefit of steroids",https://www.hmpgloballearningnetwork.com/site/wmp/content/brown-recluse-spider-bites-a-complex-problem-wound-a-brief-review-and-case-study,
Carbon monoxide poisoning,Both,Emergency Med,"Hypoxemia that results from inhalation of carbon monoxide from car fumes, smoke, or paint thinner","CO poisoning are currently estimated at 137 cases and 4.6 deaths per million, respectively","Headache, dizziness, myalgias; cherry red lips, mental status changes,  hypotension",Increased carboxyhemoglobin on ABGs; normal pulse oximetry,"100% O2, hyperbaric O2 therapy; may require intubation ",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2907971/,
Acetaminophen Poisoning,Both,Emergency Med,"overdose depletes glutathione stores in the liver. hepatotoxicity may occur following ingestion of greater than 7.5 to 10 grams (g) (eg, 24 regular-strength or 15 extra-strength caplets or tablets) over a period of 8 hours or less.",Often used for intentional overdose. ,"Nausea, hepatic insufficiency","acetaminophen level, electrolytes, kidney function tests, amylase, lipase, LFTs, CBC, coagulation factors.","Induced vomiting, charcoal, gastric lavage, diuretics, antidote (N-acetylcysteine), supportive care",https://www.tylenolprofessional.com/sites/tylenol_hcp_us/files/acetaminphen_overdose_treatment_info.pdf,
Cocaine Poisoning ,Both,Emergency Med,"persist in circulation for up to 24 hours, and may cause delayed or recurrent coronary vasoconstriction.",,"Tachycardia, agitation","History and clinical examination, Serum electrolytes, ","Induced vomiting, charcoal, gastric lavage, diuretics, supportive care",,
Opioid overdose,Both,Emergency Med,Excess activating mu and kappa receptors in the CNS and periphery. resulting in respiratory depression and eventually death,70% of drug overdose deaths,"Pinpoint pupils, respiratory depression","Serum electrolytes, Blood ABGs, RFTs, LFTs, arrhythmias on ECG,","Induced vomiting, charcoal, gastric lavage, diuretics, antidote (Naloxone), supportive care",https://www.youtube.com/watch?v=0vVYStJgN3Q,
Warfarin Poisoning,Both,Emergency Med,Leads to lifethreatening hemorrhage,,"Excessive bleeding, easy bruising","PT and INR raised, LFTs","Induced vomiting, charcoal, gastric lavage, diuretics, antidote (Vitamin K, FFP), supportive care","https://pubmed.ncbi.nlm.nih.gov/14639058/
https://link.springer.com/article/10.1007%2Fs13181-013-0378-8",
Benzodiazepine Poisoning,Both,Emergency Med,Increased activation of GABA receptors resulting in increased frequency of Cl channel opening leading to membrane hyperpolarization and decreased cellular excitation ,,"Sedation, respiratory depression","Serum electrolytes, Glucose, BUN, Creatinine clearance, Ethanol level, Acetaminophen level.","Induced vomiting, charcoal, gastric lavage, diuretics, antidote (Flumazenil), supportive care",https://www.uptodate.com/contents/benzodiazepine-poisoning-and-withdrawal#!,
Ethylene glycol Poisoning,Both,Emergency Med,Increase in metabolites may cause encephalopathy or cerebral edema.,widely used in antifreeze in cars,"Ataxia, hallucinations, seizures, sweet breath",Calcium oxalate crystals in urine,"Antidote (Ethanol), Dialysis, supportive care",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4529509/,
Lead Poisoning,Both,Emergency Med,Competes with other minerals in cellular systems Ca and Zn thus disrupting several cellular processes that depend on these minerals.,"over 400,000 deaths in the United States every year","Peripheral neuropathy, anemia","Serum levels of lead, microcytic hypochromic anemia on CBC, Blood smear shows sideroblasts","Induced vomiting, charcoal, gastric lavage, diuretics, antidote (Succimer, dimercaprol, EDTA), supportive care",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5528905/,
Mercury Poisoning,Both,Emergency Med,poisons cellular function by altering the tertiary and quaternary structure of proteins and by binding with sulfhydryl and selenohydryl groups. ,"human exposure to mercury is caused by outgassing of mercury from dental amalgam, ingestion of contaminated fish, or occupational exposure, according to the World Health Organization","Renal insufficiency, tremor, mental status changes","Blood levels of Hg, Urine analysis, radiology for elemental ingestion","Induced vomiting, charcoal, gastric lavage, diuretics, antidote (dimercaprol), supportive care",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3253456/,
Iron Poisoning,Both,Emergency Med,Cellular toxicity due to impaired oxidative phosphorylation and mitochondrial dysfunction resulting in metabolic acidosis,"age younger than five years, low socioeconomic status, living in housing built before 1978, and use of imported food, medicines, and pottery.","Nausea, constipation, hepatotoxicity","history and clinical presentation, serum iron levels raised, Abdominal radiographic examination
","Induced vomiting, charcoal, gastric lavage, diuretics, antidote (Deferoxamine), supportive care",https://www.aafp.org/afp/2019/0701/p24.html,
DiGeorge syndrome,Both,Allergy/Immunology,Chromosomal deletion in 22q11 resulting in thymic and parathyroid hypoplasia,"1/3000–6000 births, equally distributed between males and females ","Tetany and facial abnormalities, evidence of congenital heart disease; ","Decreased serum calcium,  absence of thymic shadow on CXR, genotyping for chromosomal abnormality","Calcium, vitamin D, thymic transplant, bone marrow transplant, IVIG or prophylactic antibiotics ",https://www.youtube.com/watch?v=Xtyhev-MXDc,
X-linked agammaglobulinemia,Both,Allergy/Immunology,Abnormal B-cell differentiation resulting in low B-cell and antibody levels; X-linked disorder with boys experiencing recurrent bacterial infections after 6 months of age,X-linked disorder with boys experiencing recurrent bacterial infections after 6 months of age,"Multiorgan infection, sepsis, anemia, pneumonia, growth retardation",No B cells in peripheral smear;  low total Ig levels,"IVIG, antibiotics, supportive pulmonary care",,
IgA deficiency,Both,Allergy/Immunology,Specific IgA deficiency because of abnormal immune globulin production by B cells,Increased incidence of respiratory and gastrointestinal infection,"Bronchitis, chronic diarrhea, oral infections, conjunctivitis, GI inflammation","Decreased IgA, normal levels of other immune globulins",Prophylactic antibiotics; IVIG,https://www.youtube.com/watch?v=byfy6oXcu4w,
Hyper IgM disease,Both,Allergy/Immunology,"Defect in T-cell CD40 ligand resulting in poor interaction with B cells, ","1:1,000,000","Oral infections, mucosal ulcers, sclerosing cholangitis, neurodegeneration, hepatobilliary carcinomas","Decreased IgG, IgA, Hgb, Hct, platelets, and neutrophils, increased IgM,","IVIG, prophylactic antibiotics; bone marrow transplant",https://www.youtube.com/watch?v=aReR46JNaOo,
Wiskott-Aldrich syndrome,Both,Allergy/Immunology,X-linked disorder of immune development with susceptibility to opportunistic pathogens; associated with eczema and thrombocytopenia,"1-10 cases per million males worldwide, rare in females",Recurrent infections in presence of eczema and easy bleeding; ,"Decreased platelets and IgM, genotyping detects abnormal WASP gene","Splenectomy, antibiotic prophylaxis, IVIG, bone marrow transplant",https://www.youtube.com/watch?v=5sCnpgCYDug,
Ataxia-telangiectasia,Both,Allergy/Immunology,"An autosomal recessive disorder of ATM gene causing cerebellar dysfunction, cutaneous telangiectasias","Prevalence is approximately one in 40,000-100,000 live births",Telangiectasias and ataxia develop after 3 yr of age; recurrent pulmonary infections decreased WBCs decreased IgA," Decreased WBCs, decreased IgA",IVIG and prophylactic antibiotics,https://www.youtube.com/watch?v=2LDOLC-mbtI,
Chronic granulomatous disease,Both,Allergy/Immunology,"Defect in which neutrophils cannot digest engulfed bacteria, resulting in recurrent bacterial and fungal infections","1 infant per 200,000-250,000 live births.","Cutaneous, pulmonary, and perirectal abscess formation; chronic lymphadenopathy; ","Patient's history and clinical examination, genotyping detect causative genetic mutations","Prophylactic antibiotics, g-interferon, corticosteroids, bone marrow transplant",https://www.ncbi.nlm.nih.gov/books/NBK493171/,
Hyper-IgE disease (Job syndrome),Both,Allergy/Immunology,"Defect in neutrophil chemotaxis, T-cell signaling, and overproduction of IgE ","inherited, autosomal dominant","Chronic dermatitis, recurrent skin abscesses, pulmonary infections; coarse facial features,  retained primary teeth","Increased IgE, increased eosinophils, defective chemotactic response of neutrophils on stimulation",Prophylactic antibiotics; skin hydration and emollient use,https://www.youtube.com/watch?v=BIx313yp-RA,
Chediak-Higashi syndrome,Both,Allergy/Immunology,"Autosomal recessive dysfunction of neutrophils resulting in recurrent bacterial and fungal infections; associated with abnormal platelets, albinism, and neurologic dysfunction",Fewer than 500 cases have been reported in the literature,"Seizures, delayed development, musty odor, behavioural and psychiatric disorders","Large granules in granulocytes on peripheral smear, neutropenia and hypergammaglobulinemia","Prophylactic antibiotics, bone marrow transplant",https://www.ncbi.nlm.nih.gov/books/NBK5188/,
Poliomyelitis,Adult,Neurology,A viral infection affecting the anterior horn of the spinal cord,125 cases caused reported globally in 2019,"Flaccid paralysis, muscular atrophy, loss of reflexes, paresthesia","Isolation of virus from CSF, throat swab and stool test, four-fold titer on serologic test, CSF reveals leukocytosis and mildly raised proteins","Analgesics, physiotherapy, muscle relaxants, antibiotics",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4212416/,
Brown-Séquard syndrome,Adult,Neurology,All tracts on one side of cord are defected,"Incidence is 30-40 per 1,000,000 people","Ipsilateral loss of vibration, discrimination and spastic paresis (below lesion), ipsilateral flaccid paralysis (level of the lesion), contralateral loss of pain and temperature (below lesion)",Patient's history and clinical examination,"Treat the underlying cause, high-dose steroids ",https://www.physio-pedia.com/Brown-Sequard_Syndrome,
Viral meningitis,Both,Neurology,"(aseptic meningitis), Meningitis caused by a viral infection ","Incidence of 11 per 100,000 population per year","Neck pain, photophobia, rash; symptoms generally milder than for bacterial meningitis",LP helpful for diagnosis; viral culture will confirm etiology,"Empiric antibiotics, supportive care usually sufficient for confirmed viral cases",https://www.aafp.org/afp/2010/1215/p1491.html,
Encephalitis,Both,Neurology,Inflammation of brain parenchyma caused by viral infection or immunologic response to viral infection," 3.5 and 7.4 per 100,000 patient-year, slight male predominance","Headache, neck pain, decreased consciousness; change in mental status, focal neurologic deficits, Skin lesions (HSV virus), Parotid swelling (mump)","Increased WBCs and normal glucose on LP, Brain biopsy for definitive diagnosis, CT/MRI show an inflamed region of brain ","Maintain normal ICP, supportive care; Antivirals",https://www.youtube.com/watch?v=LTy8hn_yXMk,
Trigeminal neuralgia,Both,Neurology,Head and facial pain in trigeminal nerve distribution ,"Incidence about 4-5/100,000/year up to 20/100,000/year after age 60. The female-to-male ratio is about 3:2.",Sudden severe pain in distributions of maxillary and mandibular branches; “trigger zone” stimulation may induce pain, MRI may identify lesions related to nerve compression,"Carbamazepine, anticonvulsants; surgical decompression of nerve may be helpful",,
Transient ischemic attack (TIA),Both,Neurology,Acute focal neurologic deficits caused by temporarily impaired vascular supply to the brain,"Risk factors: HTN, DM, CAD, tobacco, hyperlipidemia,
hypercoagulable states","Paresthesias, amaurosis fugax/other vision abnormality, impaired coordination, vertigo, Carotid bruits suggest carotid atherosclerosis","US to quantify degree of carotid or aortic stenosis; brain ischemia on CT/MRI, MRA/CTA  to locate intracranial vascular defects","Treat other underlying disorders, Antiplatelet (e.g., ASA) and antilipid (e.g., statins) therapy, Carotid endarterectomy/ angioplasty performed for carotid narrowing, ",,
Stroke (cerebrovascular accident [CVA]),Both,Neurology,"Acute focal neurologic deficit lasting >4 hr, caused by ischemia of brain via impaired perfusion (i.e., ischemic stroke) or hemorrhage (i.e., hemorrhagic stroke)","older age, male sex, nonwhite race, presence of congestive heart failure or coronary heart disease, and family history of myocardial infarction or stroke. Most risk factors for stroke are associated with atherosclerosis. ","Focal neurologic deficit lasting >24 hrs, Constellation of symptoms depends on location of pathology","CT/MRI useful to differentiate ischemic from hemorrhagic stroke; MRA or CTA for locating ischemic cause, ECG for new onset arrhythmia ","Treat the cause, Thrombolytic therapy, Antiplatelet therapy, Heparin or LMWH, Lipid-lowering drugs, Reversal of anticoagulation, control of blood pressure, and control of ICP, Surgical decompression may be considered for collections causing decreased consciousness Physical therapy",https://www.aafp.org/afp/2003/1215/p2379.html,
Subarachnoid hemorrhage (SAH),Both,Neurology,Bleeding between the pia and arachnoid meningeal layers,"mean age 50-55, black Americans > white Americans, females more at risk of aneurysmal hemorrhage than males. ","Severe headache, neck pain, loss of (or decreased) consciousness, seizure","LP shows red blood cells, xanthochromia, and increased pressure, CT  shows blood in the subarachnoid space; MRA/angiography to localize site of bleeding","Prevent increase in ICP, reverse anticoagulation, anticonvulsants",https://www.youtube.com/watch?v=WNcGiM5kH5s,
Epidural hematoma,Both,Neurology,Collection of blood between dura and skull caused by arterial hemorrhage,usually after head injury (73% of cases),"“lucid interval”, severe headache, decreased consciousness, hemiparesis, hemiplegia, seizures, “blown” pupil",CT shows convex hyperdensity compressing the brain at site of injury; adjacent skull fracture ,Emergent drainage of hematoma either under radiographic guidance or by surgical burr hole; stabilization of ICP and blood pressure,"https://www.youtube.com/watch?v=KW_kD_wGAUM
https://step2.medbullets.com/neurology/120299/epidural-hematoma",
Subdural hematoma,Both,Neurology,Collection of blood between the dura and arachnoid meningeal layers ,"1-5.3 cases per 100,000 population","Slowly progressive headache (days to weeks); change in mental status, contralateral hemiparesis, increased (DTRs)",CT shows concave hyperdensity compressing the brain that does not cross the midline,Surgical drainage or supportive therapy depending on size of bleed and extent of neurologic deficits,,
Status epilepticus,Both,Neurology,Repetitive or unremitting seizures without any period of regained consciousness,"9.9-41 per 100,000/year",Uninterrupted seizures lasting >20 minutes ,"CBC, glucose, electrolytes, toxicology, LFTs, blood urea nitrogen (BUN), and creatinine. EEG5 shows the prolonged abnormal electrical activity"," Treat underlying disorder. Maintain airway, breathing, circulation (ABCs)b, IV benzodiazepines  phenytoin",https://www.tamingthesru.com/blog/air-care-series/status-epilepticus-update,
Parkinson disease,Adult,Neurology,Idiopathic dopamine depletion,1-2 per 1000 of the population,"“Pill-rolling” tremor of hands, bradykinesia, masklike facies, shuffling gait, “cogwheel” rigidity, memory loss, difficulty  initiating movement, postural instability","clinical diagnosis, looking for 4 key symptoms:  Rest tremor, bradykinesia, rigidity and loss of postural reflexes","Dopaminergic agonists, MAO-B inhibitors, anticholinergic agents Deep brain electrical stimulation ",https://www.youtube.com/watch?v=ckn9zybpYZ8,
Amyotrophic lateral sclerosis (ALS),Adult,Neurology,Degeneration of anterior horn cells and corticospinal tract," a precise, single etiology of sporadic amyotrophic lateral sclerosis is unknown. 90-95% of cases are sporadic, with the remainder being familial. ","Asymmetric progressive weakness in the face (e.g., tongue, dysphagia) and limbs, change in personality, increase or decrease in DTRs, spasticity, positive Babinski sign, flaccid paralysis","El Escorial criteria; EMG shows widespread muscular denervation and motor block,  CT/ MRI to rule out neurologic lesions",supportive care,https://www.ncbi.nlm.nih.gov/books/NBK556151/,
Huntington disease,Both,Neurology,Autosomal dominant disease caused by multiple CAG repeats on chromosome 4; ,"Incidence1.2 per 100,000","Chorea, dementia (e.g., irritability, antisocial behavior); seizures","Genotyping will detect chromosome 4 abnormality, CT/MRI shows caudate nucleus atrophy",Dopamine antagonists  genetic screening can be used in asymptomatic family members with proper counseling,https://www.youtube.com/watch?v=rcFlo2fDMMs,
Multiple sclerosis (MS),Both,Neurology,Progressive demyelinating disease of brain and spinal cord with autoimmune etiology,Most patients are women 20 to 40 years of age,"Vertigo, vision abnormalities, paresthesias, urinary retention, poor movement control, dysarthria, postural instabilities, spasticity, positive Babinski sign.","CSF: increased protein, mildly increased WBCs, oligoclonal bands, increased IgG, MRI shows multiple asymmetric white matter lesions","corticosteroids, methotrexate, and avoidance of stress may help decrease length of exacerbations; interferon-b and glatiramer acetate decrease frequency of exacerbations; supportive care for worsening neurologic dysfunction",,
Syringomyelia,Both,Neurology,Post-traumatic cystic degeneration of spinal cord ,"Prevalence about 8.4/100,000 people, men>women","Loss of pain and temperature sensation, flaccid paralysis, decreased DTRs, fasciculations",MRI shows syrinx expansion,Surgical decompression; shunting may be needed for recurrent cases; supportive care,,
Myasthenia gravis,Both,Neurology,"Antibodies  bind to acetylcholine (ACh) receptors at the neuromuscular junction and block normal neuromuscular transmission, ",Most common in young adult women,"Periodic weakness, muscle fatigue ptosis, diplopia, dysarthria;  dyspnea in severe case","Positive ACh receptor antibodies; Tensilon test, nerve stimulation and EMG are helpful in making a diagnosis","Anticholinesterase agents, thymectomy, immunosuppressants, plasmapheresis, IV immunoglobulin for refractory cases",https://www.youtube.com/watch?v=bYGxGdu9MsQ,
Guillain-Barré syndrome,Both,Neurology,"Autoimmune demyelinating disorder of peripheral nerves associated with recent viral infection, surgery, or vaccination "," 0.4 to 1.7 per 100,000 population","Rapid bilateral weakness “stocking-glove” distribution with decreased sensations, neuropathic pain, severe cases may include respiratory muscle weakness.","LP shows increased protein with normal pressure and glucose, EMG consistent with widespread demyelination",Self-resolving within 1 month; plasmapheresis/IV immunoglobulin  analgesia ,https://www.youtube.com/watch?v=KUEunZYZgII,
Bell’s palsy,Both,Neurology,Facial weakness (usually unilateral) affecting both the upper and lower face," 0.4 to 1.7 per 100,000 population","Unilateral facial muscle weakness/paralysis (asymmetrical smile, drooling, ptosis, inability to close the eye, inability  to raise eyebrow)",History and clinical examination,"supportive care (artificial tears, patch the eye), high-dose glucocorticoids, valacyclovir",https://www.youtube.com/watch?v=5KUbnVeMYEo,
Neurofibromatosis type 1,Both,Neurology,Autosomal dominant disorder (NF1 gene on chromosome 17) with multiple neurologic tumor and dermatologic manifestations,1:2600 to 3000 individuals,"Café-au-lait macules.15 mm diameter, neurofibromas or 1 plexiform neurofibroma, Axillary or inguinal freckling, optic glioma, (i.e., Lisch nodules, Bone lesions ","Clinical examination and medical history, Genetic testing detects abnormal gene, MRI: increased signal intensity in brain and increased brain volume",Therapy directed at maintaining function and treating complications,,
Febrile seizures,Pediatric,Neurology,Childhood seizures between 6 months and 6 years of age associated with fever,1 in 25 children in the population,Fever >102°F/38.9°C with a rapid rise in temperature; tonic–clonic seizure lasting <15 minutes,"LP should be performed if meningitis suspected or in children, EEG usually normal, unless atypical seizure",Antipyretics,,
Tay-Sachs disease,Pediatric,Neurology,Autosomal recessive disorder caused by the absence of hexosaminidase A ,"Risk factors: Ashkenazi Jews, French Canadians","Poor development, decreased alertness, hyper-acute hearing; cherry red spots on retina, progressive paralysis, vision loss, change in mental status",Decreased hexosaminidase A activity; DNA analysis confirms diagnosis,Supportive care; genetic screening may aid parents with future childbearing decisions,https://www.youtube.com/watch?v=2z3nSnBe8Vg,
Cerebral palsy (CP),Pediatric,Neurology,Disorders of motor function resulting from CNS damage during in utero or infantile development,"Risk factors: prematurity, intrauterine growth restriction, birth trauma, neonatal seizures or cerebral hemorrhage, multiple births, chorioamnionitis","Spastic CP has multiple limbs with increased tone, increased DTRs, weakness, gait abnormalities, and frequent mental retardation.
Dyskinetic CP have choreoathetoid, dystonic and dysarthria, 
Both types of CP can include hyperactivity, seizures, or limb contractures",MRI may be useful for detecting causative lesions,"Botulinum toxin, dantrolene, baclofen, etc, physical therapy, bracing, and surgery can be used to alleviate contractures and improve function, Speech therapy ",,
Retinoblastoma,Pediatric,Opthalmology,Malignant tumor of the retina in children,Some cases have a genetic link that increases risk of tumor for both eyes.  The most common intraocular tumor in children,"Patients experience decrease in vision or eye inflammation;  poor red light reflex in affected eye (i.e., leukocoria) or white retinal mass","Mutation of RBI gene apparent on genotyping, US and CT detect size and extent of tumor","Enucleation performed for large tumors, radiotherapy for bilateral tumors or tumors near optic nerve. Cryotherapy or laser photocoagulation, Chemotherapy",https://www.aafp.org/afp/2006/0315/p1039.html,
Horner syndrome,Adult,Opthalmology,Interruption of the sympathetic nerve supply to the eye,approximately 1.42 in 100 000 patients younger than 19 years,"Ptosis, miosis, anhidrosis",Medical history and clinical examination,"Treat the cause, cosmetic surgery, phenylephrine","https://www.mayoclinic.org/diseases-conditions/horner-syndrome/symptoms-causes/syc-20373547
https://www.youtube.com/watch?v=9XKj95DBscM
",
Open angle glaucoma,Adult,Opthalmology,Gradual bilateral increase in IOP,"Prevalence 3.54% for ages 40–80,  Risk factors: increased age, increased IOP, blacks, DM, myopia, family history","Gradual loss of visual fields, halos seen around lights, poor adaptation to changes in light; cupping of optic disc ","IOP testing (i.e., tonometry) shows increased pressure ","Topical  b-blockers,  a-adrenergic agonists, Laser surgery, Prevention ",https://www.ncbi.nlm.nih.gov/books/NBK441887/,
Closed angle glaucoma,Adult,Opthalmology,Acute increase in IOP secondary to narrowing of anterior chamber angle and  obstructed drainage of aqueous humor from the eye,"Risk factors: increased age, Asian, hyperopia, dilated pupils (e.g., low-light  environments, optometry examination dilation)","Severe eye pain, blurred vision, halos seen around lights, nausea, and vomiting; eye is inflamed, hard, dilated and nonreactive pupil","
Tonometry demonstrates increased IOP","Timolol, apraclonidine, and pilocarpine eye drops, oral/IV acetazolamide or IV mannitol, Laser iridotomy",https://www.sciencedirect.com/topics/medicine-and-dentistry/closed-angle-glaucoma,
Macular degeneration,Adult,Opthalmology,Atrophic (slow) or exudative (rapid) degeneration of the retina,"Risk factors: white, tobacco, family history, increased age, prolonged sunlight exposure, HTN; female>male","Gradual loss of vision, loss of retinal pigmentation and hemorrhage  in macular region, retinal detachment ",Fluorescein angiography shows neovascular membranes and retina,"Vitamin C, vitamin E, b-carotene, copper, and zinc, intravitreal ranibizumab, laser photocoagulation ",https://www.aafp.org/afp/2000/0515/p3035.html,
Fragile X syndrome,Both,Genetics,X-linked chromosomal disorder associated with mental retardation in males; females may be carriers and rarely show any effects of the abnormal gene,1 in 2500-4000 males and 1 in 7000-8000 females,"large face with prominent jaw and large ears; mild hand and foot abnormalities, macroorchidism; mental retardation, hyperactivity,  seizures","Medical and family history, clinical examination, genotyping","appropriate genetic counseling for parents, symptomatic treatment",https://www.youtube.com/watch?v=auIwEV1SiBQ,
Cri du chat,Both,Genetics,deletion of Entire 5p chromosome arm,"1 in 20,000 to 1 in 50,000 newborns","High-pitched, catlike cry, small head, low birth weight, mental retardation","Genotyping shows deletion of chromosome 5p, Medical and family history, clinical examination",Symptomatic treatment,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1574300/,
Williams Syndrome,Both,Genetics,deletion of 7q11.23,"Prevalence is one in 10,000-20,000 births in the United States.","“elfin facies”, short stature, mental retardation, cheerful/friendly personality, supravalvular stenosis","Medical and family history, clinical examination, Genotyping show deletion of maternal allele","Symptommatic treatment,",,
Prader-Willi,Both,Genetics,15q11-15q13 (deletion of paternal allele),"Prevalence of 10,000 to 20,000 living individuals in the US, equal distribution in men and women ","Overeating, obesity, decreased muscular tone in infancy, mental retardation, small hands and feet",Genotyping shows deletion of 15q11-15q13 ,Symptomatic treatment,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7962179/
https://www.youtube.com/watch?v=kgIZtCT5-18",
Angelman Syndrome,Both,Genetics,15q11-15q13 (deletion of maternal allele),"Prevalence 1 in 12,000-20,000 in the general population","Puppetlike movement, happy mood, unprovoked laughter, mental retardation, seizures","Genotyping show deletion of maternal allele, Medical and family history, clinical examination",Symptomatic treatment,,
